query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
97,dcml-beethoven_piano_sonatas-op-110,beethoven_l,15394781524604068881,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
98,musedata_mozart-bhl-qrtets-k173,mozart_wa,5488755282838604082,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
99,musedata_beethoven-bhl-orch-sym7,beethoven_l,11089555382084080366,246,0.0008349744689084198,1134,764.8522837481742,1134,196.92226111591194,77
100,dcml-beethoven_piano_sonatas-op-81a,beethoven_l,3251578493499233293,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
101,dcml-jc_bach_sonatas-op-5,bach_jc,17134696777513059609,303,0.00010019261911176606,208,143.71920389907459,208,96.14754308861197,45
102,dcml-beethoven_piano_sonatas-op-10-3,beethoven_l,1007530776709428881,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
103,musedata_mozart-bhl-qrtets-k464,mozart_wa,9321329810603550862,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
104,musedata_beethoven-bhl-orch-sym2,beethoven_l,4962737422535300285,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
105,dcml-beethoven_piano_sonatas-op-26,beethoven_l,12896871594771329615,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
106,dcml-beethoven_piano_sonatas-op-106,beethoven_l,12055721867654298161,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
107,musedata_beethoven-bhl-orch-sym4,beethoven_l,5853728986025012083,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
108,musedata_beethoven-bhl-conc-piano2,beethoven_l,11082989705050216449,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
109,musedata_mozart-bhl-conc-k466,mozart_wa,11872233654477064238,231,2.364589892996085e-05,37,23.101889549860328,37,20.92466083688553,12
110,osq-5108607,saint-georges_jb,11185099478490614731,299,0.040519125124112654,85167,56389.313740617676,85167,298.68339763306597,229
111,kern-humdrum-haydn-quartets-op74n2,haydn_fj,5849151071497539012,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
112,osl-5103429,schubert_f,2620933525951777616,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
113,kern-humdrum-haydn-quartets-op64n1,haydn_fj,1865825152640898051,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
114,dcml-beethoven_piano_sonatas-op-53,beethoven_l,13961194395783257781,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
115,musedata_mozart-bhl-sym-k551,mozart_wa,4949534916579293866,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
116,osl-5101602,schubert_f,918474398620245074,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
117,musedata_mozart-bhl-sym-k551,mozart_wa,17526030974709968191,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
118,dcml_mozart_sonatas-K309,mozart_wa,11304840437011543289,231,6.347057081200017e-05,101,67.6342889272418,101,48.699745229610635,36
119,musedata_mozart-bhl-qrtets-k285,mozart_wa,6007866318843100752,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
120,musedata_mozart-bhl-qrtets-k458,mozart_wa,11185099478490614731,231,0.03704254519477998,59528,35601.34197132676,59528,230.59570907335143,167
121,musedata_beethoven-bhl-orch-sym9,beethoven_l,4372973975099255643,246,0.0015544502667872169,2112,1516.6556224909725,2112,221.82290480039026,54
122,musedata_beethoven-bhl-orch-sym4,beethoven_l,8071837591136896981,246,6.620942925265003e-06,8,8.670669235440384,8,8.386783461148179,1
123,kern-humdrum-haydn-symphonies-sym099,haydn_fj,13020225774748621817,216,0.00020829712930847734,349,237.17883644475697,349,112.63886152148108,80
124,dcml_abc-n02op18-2,beethoven_l,6097902753444142206,246,3.678301625147224e-06,4,3.1080875610388246,4,3.065949910427557,1
125,osl-5004732,schubert_f,16952957102787188554,288,0.0004528653656709735,889,517.2499771567526,889,192.66674350786914,56
126,musedata_beethoven-bhl-orch-sym7,beethoven_l,11185099478490614731,246,0.03592523631248791,48833,30208.937728635377,48833,245.55985934389997,179
127,musedata_beethoven-bhl-orch-sym2,beethoven_l,11185099478490614731,246,0.03592523631248791,48833,30208.937728635377,48833,245.55985934389997,179
128,musedata_beethoven-bhl-orch-sym3,beethoven_l,9464474204557238460,246,1.5448866825618342e-05,20,14.471423602042975,20,13.73603460282826,15
129,musedata_mozart-bhl-sym-k543,mozart_wa,2325445932050422067,231,0.003722362299974363,5981,3344.834263590319,5981,221.0732858825567,91
130,kern-humdrum-haydn-quartets-op33n2,haydn_fj,11902003128144412931,216,2.9756732758353904e-06,4,3.006416453397912,4,2.9654498379397913,1
131,dcml_abc-n07op59-1,beethoven_l,17366986373224460814,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
132,musedata_mozart-bhl-conc-k450,mozart_wa,15385653331987468213,231,3.546884839494127e-05,56,37.12835269193171,56,31.425682328975753,25
133,musedata_beethoven-bhl-orch-sym1,beethoven_l,11185099478490614731,246,0.03592523631248791,48833,30208.937728635377,48833,245.55985934389997,179
134,dcml_mozart_sonatas-K311,mozart_wa,13221503791800669182,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
135,musedata_beethoven-bhl-orch-sym7,beethoven_l,1022953264864722453,246,4.413961950176669e-06,5,3.640923415424913,5,3.5813103947661595,2
136,musedata_beethoven-bhl-orch-sym1,beethoven_l,12091394290458712405,246,5.885282600235559e-06,7,4.930547343069553,7,4.839908064598723,3
137,kern-humdrum-haydn-quartets-op09n2,haydn_fj,10808052014681679880,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
138,kern-humdrum-haydn-symphonies-sym102,haydn_fj,11185099478490614731,216,0.040861350289116416,68658,43446.55531739582,68658,215.86833801689167,164
139,kern-humdrum-haydn-symphonies-sym101,haydn_fj,8805356861844118697,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
140,osq-13145233,schubert_f,2355877268462465005,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
141,musedata_beethoven-bhl-orch-sym7,beethoven_l,11185099478490614731,246,0.03592523631248791,48833,30208.937728635377,48833,245.55985934389997,179
