pair,label,work_A,work_B,hash,occ_A,occ_B,mov_A,windows_B,DF,E,E_laplace,intervals,rclass,uniform_rhythm
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,11979046856958451427,5,2,4,5517,0.13872832369942195,0.5180197693287052,0.24095001794179305,0 0 0 0 0 0 12,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,10507894682042123572,5,2,4,5517,0.12716763005780346,0.6469159072888044,0.2214135300005666,0 0 0 0 0 12 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,16671907075875328222,5,2,4,5517,0.1329479768786127,0.6541204295842392,0.22792569264764206,0 0 0 0 12 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,12550786144049372745,5,1,4,5517,0.13872832369942195,0.6852265160038099,0.29304731911839693,0 0 0 12 0 0 0,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,2630682921647085982,1,1,4,5517,0.3352601156069364,2.670615552160878,1.8494541917694385,0 0 0 0 0 0 0,0 0 0 0 0 0 2,0
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,1845747142093016742,1,2,4,5517,0.03468208092485549,0.07719704016425728,0.07814595176490585,0 0 0 0 0 0 -12,0 0 0 0 0 0 2,0
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13018535314588550983,2,1,1,8354,0.19591836734693877,0.9032732519927703,1.0967720639150402,2 1 -1 -2 -2 -1 1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,4842745118461679178,1,1,1,8354,0.07755102040816327,0.17125543663383133,0.20681987490969325,-2 -1 1 -1 1 2 2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3272389519193942737,16,1,1|5,8354,0.22040816326530613,4.234989682289023,2.81400375255916,2 -2 2 -2 2 -2 2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,316450414965223532,16,2,1|5,8354,0.23265306122448978,3.6834486588089397,2.66985656701604,-2 2 -2 2 -2 2 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,11089555382084080366,68,14,1|4|5,8354,0.30612244897959184,7.185361198026111,7.006806671182941,-1 1 -1 1 -1 1 -1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,2900228450425205540,63,17,1|5,8354,0.33877551020408164,7.183424876183045,6.649572341793471,1 -1 1 -1 1 -1 1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13459776584345461897,1,2,1,8354,0.09795918367346938,0.37551987855584934,0.438708825566016,-12 12 0 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,17925413280476743312,2,2,1|2,8354,0.35918367346938773,2.166305247947437,2.682391104889355,12 0 0 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,11185099478490614731,83,141,1|2|5,8354,0.7224489795918367,260.44669323507003,304.977840995621,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,1082045612886752309,1,2,1,8354,0.33877551020408164,1.544601008368606,1.8801806809972115,0 0 0 0 0 0 5,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,7497843149983779458,1,1,1,8354,0.024489795918367346,0.08406403151159798,0.10027630298651795,0 0 0 5 -5 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,6420015703652674026,4,1,1|3,8354,0.49795918367346936,4.346508790787297,4.618977206316482,2 2 1 2 2 2 1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,6684035197061309914,1,1,1,8354,0.42448979591836733,2.5247793971010832,2.5883820708394945,2 1 2 2 2 1 2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,10854024840505956090,2,1,1,8354,0.5836734693877551,4.129440535470628,5.120358721249072,-1 -2 -2 -2 -1 -2 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,6221389253287533654,3,1,1,8354,0.13877551020408163,0.7407723856652222,0.9087539958153188,-2 -1 -2 3 -1 -2 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,4372973975099255643,18,1,1|3|5,8354,0.21224489795918366,14.046996800186816,13.186333842727109,-12 12 -12 12 -12 12 -12,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3875773135645209340,1,1,1,8354,0.0007208694607192157,0.0013653722362822408,0.006267268936657372,-2 0 -1 -2 -2 5 -1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3035178337832601001,1,3,1,8354,0.12244897959183673,1.0216753459086232,0.9087539958153188,-1 -2 -2 5 -1 -2 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,15595496824933904010,3,2,2|5,8354,0.4530612244897959,3.610559375108816,4.268010145863671,0 0 -2 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,16161659831680223506,5,3,2|5,8354,0.45714285714285713,3.821790342499491,4.524968172266623,0 -2 0 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3108513523302505712,2,3,2,8354,0.22448979591836735,0.5790987742128965,0.7144686587789404,0 0 0 0 0 -7 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,6555203061558586692,2,2,2,8354,0.27346938775510204,1.1310157371628844,1.366264628191307,0 0 0 0 0 0 -3,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,6787782814435139067,2,2,2,8354,0.2571428571428571,1.2417956043192677,1.247186518394817,0 0 0 0 0 -3 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,6936220342145915986,2,1,2,8354,0.24489795918367346,1.1408775829886293,1.165712022218271,0 0 0 0 -3 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,4068124447445488065,4,1,2|5,8354,0.3142857142857143,1.4443802538304984,1.585619040974315,0 0 5 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,9554831795633673372,5,2,2|5,8354,0.3142857142857143,1.4437517389011025,1.6044208477842872,0 5 0 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13020225774748621817,4,3,2|5,8354,0.363265306122449,1.52933015430555,1.8425770673772672,5 0 0 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,1842591613875724,1,3,2,8354,0.2571428571428571,0.7035286603133462,0.8836849200686894,0 0 0 0 0 0 -7,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,1794322274251292721,1,3,2,8354,0.20408163265306123,0.5023113559473065,0.5953905489824504,0 0 0 0 -7 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13030236077530698751,1,3,2,8354,0.27755102040816326,1.0138767007932377,1.21585017371153,0 0 0 -7 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,12133793991146326180,1,2,2,8354,0.20408163265306123,3.171961730265191,1.704697150770805,-1 1 2 -2 -1 1 2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,11257817376361186834,1,1,2,8354,0.2612244897959184,1.1023204765941268,1.3850664350012791,0 0 0 0 0 0 -12,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,17088342778623933744,2,4,2,8354,0.5183673469387755,4.757676771065696,5.032616956135869,0 0 0 0 0 -2 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,16647158588708528080,2,3,2,8354,0.5102040816326531,4.0221135671513695,4.637779013126456,0 0 0 0 -2 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,10457360941286025917,2,5,2|4,8354,0.5469387755102041,6.310043588528107,7.614731758038706,0 0 0 -2 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,611779362569012107,2,2,2,8354,0.31020408163265306,1.6389118810353869,1.7611025712007216,0 0 0 0 5 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,8801578294649929429,3,5,2|5,8354,0.3877551020408163,2.2688726634034118,2.5570457261562076,0 0 0 5 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3672818562819573664,1,1,2,8354,0.004081632653061225,0.008951425017682847,0.018801806809972114,-2 -1 1 1 1 -1 1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3968772331688480021,2,2,2|5,8354,0.4897959183673469,6.700039967264886,5.471325781701885,0 0 0 0 0 1 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,12136645170524575645,2,2,2|5,8354,0.46938775510204084,6.0698330534797895,5.176764141678989,0 0 0 0 1 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13646608702198817197,1,2,2,8354,0.21224489795918366,0.8400317687518396,0.85861584432206,0 -3 0 0 0 0 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,9333681981848353177,3,1,2|5,8354,0.4857142857142857,4.249290877331275,5.264505906792192,0 0 0 0 0 0 -1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13980122199227878628,1,1,2,8354,0.12244897959183673,0.3903358146471241,0.48884697705927493,0 0 2 0 0 0 2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,2112116260664215526,1,1,2,8354,0.12244897959183673,0.36281129366743886,0.45124336343933075,0 2 0 0 0 2 0,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13871675983980651015,1,18,4,8354,0.04897959183673469,0.33600887649075134,0.4136397498193865,-2 2 -2 -1 -2 2 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3972001279421935252,1,8,4,8354,0.08979591836734693,0.5071120480283806,0.6329941626023946,2 -2 -1 -2 2 -2 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,12863154568693281166,3,2,4,8354,0.13877551020408163,8.99815211230979,0.5013815149325898,-2 -1 -2 -1 -3 -1 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,4073167892415760602,2,2,4,8354,0.10612244897959183,8.940200161926484,0.3133634468328686,-1 -2 -1 -3 -1 -2 -2,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,3095522951971963757,2,2,4,8354,0.11020408163265306,6.5651108260680004,0.31963071576952595,-2 -1 -3 -1 -2 -2 -1,0 0 0 0 0 0 0,1
P08,1,dcml_abc-n15op132,dcml-mendelssohn_quartets-op-13,13875199992483980376,2,1,4,8354,0.036734693877551024,0.6275021074020936,0.08774176511320321,-3 -1 -2 -2 -1 -2 -1,0 0 0 0 0 0 0,1
