query,work,composer,n_B,obs_occ,obs_works,pred_occ_lap,pred_occ_kn,pred_occ_hier,pred_works_lap,pred_works_kn,pred_works_hier,pred_works_df
103,musedata_mozart-bhl-qrtets-k464,mozart_wa,231,0,0,1.0755791371670043,4.638855105127224e-07,4.1100487097379185e-07,1.0674064883778756,4.63885508228401e-07,4.110048686944978e-07,3.228955159292852e-07
104,musedata_beethoven-bhl-orch-sym2,beethoven_l,246,0,0,0.9767441434944739,2.1172636025382e-08,5.900123892627913e-08,0.9730988331175744,2.1172635977784182e-08,5.900123889457376e-08,2.491529052432484e-08
105,dcml-beethoven_piano_sonatas-op-26,beethoven_l,246,0,0,0.9767441434944739,5.28983777857824e-09,1.0503331543526404e-08,0.9730988331175744,5.28983756797885e-09,1.0503331648870073e-08,4.1850469018636015e-09
106,dcml-beethoven_piano_sonatas-op-106,beethoven_l,246,0,0,0.9767441434944739,0.34927336852922924,0.2485280358130544,0.9730988331175744,0.34877943725761207,0.2482924066521034,0.33114950171000807
107,musedata_beethoven-bhl-orch-sym4,beethoven_l,246,0,0,0.9767441434944739,3.2156056369727006e-10,2.477091184001116e-10,0.9730988331175744,3.215613331164491e-10,2.4770907547377874e-10,2.4983139329864614e-10
108,musedata_beethoven-bhl-conc-piano2,beethoven_l,246,0,0,0.9767441434944739,0.03133935680607031,0.04565160658473877,0.9730988331175744,0.031332993827124844,0.0456417790445488,0.024929574308198667
109,musedata_mozart-bhl-conc-k466,mozart_wa,231,37,12,23.101889549860328,35.19398465373166,36.331236417877825,20.92466083688553,30.38538417640346,30.445596773519107,11.935712342179007
110,osq-5108607,saint-georges_jb,299,85167,229,56389.313740617676,81224.01136487782,83017.88991147437,298.68339763306597,298.8837578948622,298.65765025537496,224.14211958482838
111,kern-humdrum-haydn-quartets-op74n2,haydn_fj,216,0,0,1.0768521539959388,3.57522602585221e-07,3.1074492290748384e-07,1.0694009250832588,3.575226019680855e-07,3.107449220163261e-07,3.592236785136167e-07
112,osl-5103429,schubert_f,288,0,0,0.9900881386985868,1.7744469115741582e-06,2.6118477534691525e-06,0.9853763063176227,1.7744468997493712e-06,2.611847709887982e-06,1.782379129239267e-06
113,kern-humdrum-haydn-quartets-op64n1,haydn_fj,216,0,0,1.0768521539959388,0.1571675758663161,0.12061362090253444,1.0694009250832588,0.15699911521722942,0.12053171274326502,0.1310837148836446
114,dcml-beethoven_piano_sonatas-op-53,beethoven_l,246,0,0,0.9767441434944739,3.545021324083254e-11,1.298772730802402e-10,0.9730988331175744,3.5450198332398486e-11,1.2987766417893454e-10,2.2546167293012027e-11
115,musedata_mozart-bhl-sym-k551,mozart_wa,231,0,0,1.0755791371670043,2.06553327370512e-07,2.5084666617746587e-07,1.0674064883778756,2.0655332599872622e-07,2.5084666577246395e-07,1.50043443906198e-07
116,osl-5101602,schubert_f,288,0,0,0.9900881386985868,7.713608473564379e-10,9.505039928170642e-10,0.9853763063176227,7.713605310044613e-10,9.505032316781126e-10,9.781150769418834e-10
117,musedata_mozart-bhl-sym-k551,mozart_wa,231,0,0,1.0755791371670043,0.007633742663948345,0.00838015898970401,1.0674064883778756,0.0076332175948770065,0.00837976883431113,0.005642875956988216
118,dcml_mozart_sonatas-K309,mozart_wa,231,101,36,67.6342889272418,102.8280064005648,105.34868085998527,48.699745229610635,65.54150396555795,68.4812093095007,32.24155571683727
119,musedata_mozart-bhl-qrtets-k285,mozart_wa,231,0,0,1.0755791371670043,2.6751331166374858e-06,3.7173744118887267e-06,1.0674064883778756,2.6751330730601097e-06,3.717374145617569e-06,2.76220403657437e-06
120,musedata_mozart-bhl-qrtets-k458,mozart_wa,231,59528,167,35601.34197132676,52577.61338708412,55702.29706919788,230.59570907335143,230.8498645881244,230.58862760766542,161.5234164841737
121,musedata_beethoven-bhl-orch-sym9,beethoven_l,246,2112,54,1516.6556224909725,2285.604992047912,2266.0361763539017,221.82290480039026,229.74317099444858,228.44427798766898,57.42917972339108
122,musedata_beethoven-bhl-orch-sym4,beethoven_l,246,8,1,8.670669235440384,11.26791082534256,10.163355185767667,8.386783461148179,10.784342688035416,7.960780101665595,1.3498293688969938
123,kern-humdrum-haydn-symphonies-sym099,haydn_fj,216,349,80,237.17883644475697,352.8784308937055,357.7069279000659,112.63886152148108,135.07405511598665,134.6819980742732,75.2820346569089
124,dcml_abc-n02op18-2,beethoven_l,246,4,1,3.1080875610388246,2.8661140010860797,3.289975943953498,3.065949910427557,2.8198277642544767,3.2459217744373854,0.9350331145683939
